LGBT,www.azfertility.com,Ok,0
lesbian,www.azfertility.com,Ok,0
gay,www.azfertility.com,Ok,0
LGBT,http://beverlyhills.reproductivepartners.com,Ok,0
lesbian,http://beverlyhills.reproductivepartners.com,Ok,0
gay,http://beverlyhills.reproductivepartners.com,Ok,0
LGBT,http://coloradofertility.com,Ok,0
lesbian,http://coloradofertility.com,Ok,0
gay,http://coloradofertility.com,Ok,0
LGBT,http://fertilityprogramalabama.com,Ok,0
lesbian,http://fertilityprogramalabama.com,Ok,0
gay,http://fertilityprogramalabama.com,Ok,0
LGBT,http://pacificreproductivecenter.com,Ok,0
lesbian,http://pacificreproductivecenter.com,Ok,0
gay,http://pacificreproductivecenter.com,Ok,0
LGBT,http://www.columbiafertility.com,Ok,0
lesbian,http://www.columbiafertility.com,Ok,0
gay,http://www.columbiafertility.com,Ok,0
LGBT,http://www.conceptionsrepro.com,Ok,0
lesbian,http://www.conceptionsrepro.com,Ok,0
gay,http://www.conceptionsrepro.com,Ok,0
LGBT,http://www.ctfertility.com,Ok,0
lesbian,http://www.ctfertility.com,Ok,0
gay,http://www.ctfertility.com,Ok,0
LGBT,http://www.drbachus.com,Ok,0
lesbian,http://www.drbachus.com,Ok,0
gay,http://www.drbachus.com,Ok,0
LGBT,http://www.goivf.com,Ok,0
lesbian,http://www.goivf.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
gay,http://www.goivf.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
LGBT,http://www.greenwichivf.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
lesbian,http://www.greenwichivf.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
gay,http://www.greenwichivf.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
LGBT,http://www.novaivf.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
lesbian,http://www.novaivf.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
gay,http://www.novaivf.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
LGBT,http://www.pacificfertilitycenter.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
lesbian,http://www.pacificfertilitycenter.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
gay,http://www.pacificfertilitycenter.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
LGBT,http://www.pamf.org/fertility,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
lesbian,http://www.pamf.org/fertility,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
gay,http://www.pamf.org/fertility,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
LGBT,http://www.parkavefertility.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
lesbian,http://www.parkavefertility.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
gay,http://www.parkavefertility.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
LGBT,http://www.rmact.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
lesbian,http://www.rmact.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
gay,http://www.rmact.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
LGBT,http://www.rmfcfertility.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
lesbian,http://www.rmfcfertility.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
gay,http://www.rmfcfertility.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
LGBT,http://www.rockymountainfertility.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
lesbian,http://www.rockymountainfertility.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
gay,http://www.rockymountainfertility.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
LGBT,http://www.uconnfertility.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
lesbian,http://www.uconnfertility.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
gay,http://www.uconnfertility.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
LGBT,https://www.arcfertility.com/arc-fertility-clinics/arc-practices-colorado/advanced-reproductive-medicine-university-colorado,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
lesbian,https://www.arcfertility.com/arc-fertility-clinics/arc-practices-colorado/advanced-reproductive-medicine-university-colorado,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
gay,https://www.arcfertility.com/arc-fertility-clinics/arc-practices-colorado/advanced-reproductive-medicine-university-colorado,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
LGBT,https://www.ccrmivf.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
lesbian,https://www.ccrmivf.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
gay,https://www.ccrmivf.com,No Results,"{""error"":{""errors"":[{""domain"":""usageLimits"",""reason"":""dailyLimitExceeded"",""message"":""Daily Limit Exceeded""}],""code"":403,""message"":""Daily Limit Exceeded""}}"
